"id","DateTime","DateTimeDigitized","DateTimeOriginal","ExifVersion","ExposureBias","FNumber","Flash","FocalLength","GPSAltitude","GPSAltitudeRef","GPSDateStamp","GPSInfo","GPSLatitude","GPSLatitudeRef","GPSLongitude","GPSLongitudeRef","GPSProcessingMethod","GPSTimeStamp","ISO","brightnessValue","compressedBitsPerPixel","contrast","digitalZoomRatio","exposureProgram","exposureTime","focalLengthIn35mmFilm","gPanoCaptureSoftware","gPanoCroppedAreaImageHeightPixels","gPanoCroppedAreaImageWidthPixels","gPanoCroppedAreaLeftPixels","gPanoCroppedAreaTopPixels","gPanoFullPanoHeightPixels","gPanoFullPanoWidthPixels","gPanoLargestValidInteriorRectHeight","gPanoLargestValidInteriorRectLeft","gPanoLargestValidInteriorRectTop","gPanoLargestValidInteriorRectWidth","gPanoNorthPosInX","gPanoProjectionType","gPanoStitchingSoftware","gPanoUsePanoramaViewer","lightSource","make","maxApertureValue","meteringMode","model","pixelXDimension","pixelYDimension","resolutionUnit","saturation","sharpness","whiteBalance","xResolution","yResolution","Orientation"
"56","2013-09-15 15:33:24","2013-09-15 06:22:24","2013-09-15 06:22:24","0220","0","2","0","3.82","808.599","0","2013-09-14 08:00:00","960","39.84501647222223","N","115.63942716666668","E","ASCII","","125","1.736932","12259968/4085760 (3.001)","0","0","2","0.03","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"57","2013-09-15 15:33:25","2013-09-15 06:22:31","2013-09-15 06:22:31","0220","0","2","0","3.82","808.599","0","2013-09-14 08:00:00","960","39.84501647222223","N","115.63942716666668","E","ASCII","","125","3.407011","9407784/4085760 (2.303)","0","0","2","0.009427","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"58","2013-09-15 15:33:30","2013-09-15 09:18:19","2013-09-15 09:18:19","0220","0","2","0","3.82","31.399","0","2013-09-15 08:00:00","960","39.68923566666666","N","115.927124","E","ASCII","","125","9.58493","14958792/4085760 (3.661)","0","0","2","0.00013","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","1520","2688","","0","0","0","72","72","0"
"59","2013-09-15 15:33:32","2013-09-15 09:18:51","2013-09-15 09:18:51","0220","0","2","0","3.82","45.799","0","2013-09-15 08:00:00","960","39.68881986111111","N","115.92741391666667","E","ASCII","","125","10.321895","13624712/4085760 (3.335)","0","0","2","0.000078","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","1520","2688","","0","0","0","72","72","0"
"60","2013-09-15 15:33:40","2013-09-15 09:34:50","2013-09-15 09:34:50","0220","0","2","0","3.82","0","0","2013-09-15 08:00:00","960","39.68766783333333","N","115.93087005555556","E","ASCII","","125","9.321896","14376144/4085760 (3.519)","0","0","2","0.000156","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","1520","2688","","0","0","0","72","72","0"
"61","2013-09-15 15:32:41","2013-09-14 10:29:10","2013-09-14 10:29:10","0220","0","2","0","3.82","409.399","0","2013-09-14 08:00:00","960","39.97674558333333","N","115.69856261111111","E","ASCII","","125","9.906857","8808600/4085760 (2.156)","0","0","2","0.000104","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","1520","2688","","0","0","0","72","72","0"
"62","2013-09-15 15:32:42","2013-09-14 14:16:17","2013-09-14 14:16:17","0220","0","2","0","3.82","1136.9","0","2013-09-14 08:00:00","960","39.82597730555556","N","115.59652708333333","E","ASCII","","125","7.447426","20117448/4085760 (4.924)","0","0","2","0.000572","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"63","","2002-12-08 12:00:00","2014-04-10 12:04:15","0220","","","0","3.69","","","","388","","","","","","","100","","","","","","0.01506","","","","","","","","","","","","","","","","","","Xiaomi","","","MiOne","3200","1800","","","","","72","72","0"
"64","2013-09-15 15:44:37","","2013-08-31 14:06:25","0220","","","","","644.7","0","2013-08-31 08:00:00","376","40.552776333333334","N","116.68827055555556","E","","","","","","","","","","","","","","","","","","","","","","","","","","","HTC","","","HTC One","6052","1088","","","","","","","0"
"65","2013-09-15 15:44:49","2013-08-31 15:09:25","2013-08-31 15:09:25","0220","0","2","0","3.82","1021.5","0","2013-08-31 08:00:00","960","40.56087491666666","N","116.69763944444445","E","ASCII","","125","9.099503","7107912/4085760 (1.74)","0","0","2","0.000182","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
